"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU5952",2,6.642,4,10,"Specialists"
"OTU252",2,1.41,1,2,"NS"
"OTU885",7,4.666,2,8,"NS"
"OTU386",2,1.458,1,2,"NS"
"OTU3639",8,3.89,2,6,"Generalists"
"OTU3574",3,2.574,1,4,"NS"
"OTU2556",3,4.372,2,7,"NS"
"OTU775",7,14.254,10,19,"Specialists"
"OTU12805",4,1.936,1,3,"Generalists"
"OTU610",2,1.472,1,2,"NS"
"OTU161",7,5.604,3,9,"NS"
"OTU2656",2,1.438,1,2,"NS"
"OTU1621",3,2.726,1,5,"NS"
"OTU2524",4,2.016,1,3,"Generalists"
"OTU262",4,2.1,1,4,"NS"
"OTU5475",3,2.42,1,4,"NS"
"OTU1177",3,16.73,11,22,"Specialists"
"OTU1282",8,4.926,2,8,"NS"
"OTU329",7,3.608,2,6,"Generalists"
"OTU354",2,1.42,1,2,"NS"
"OTU1225",2,1.726,1,3,"NS"
"OTU456",1,1.704,1,3,"NS"
"OTU257",7,30.826,25,37,"Specialists"
"OTU1081",3,1.788,1,3,"NS"
"OTU952",2,4.034,2,6,"NS"
"OTU575",4,22.002,16,28,"Specialists"
"OTU1331",5,14.514,10,20,"Specialists"
"OTU1392",2,2.19,1,4,"NS"
"OTU12152",1,1.448,1,2,"NS"
"OTU560",5,22.428,16.475,29,"Specialists"
"OTU777",2,3.17,1,5,"NS"
"OTU1204",8,5.524,3,9,"NS"
"OTU321",5,3.098,1,5,"NS"
"OTU272",5,2.47,1,4,"Generalists"
"OTU4832",12,4.336,2,7,"Generalists"
"OTU11070",16,5.156,3,8,"Generalists"
"OTU969",10,8.192,5,12,"NS"
"OTU1495",5,21.89,16,28,"Specialists"
"OTU2148",4,3.074,1,5,"NS"
"OTU4881",1,2.482,1,4,"NS"
"OTU2134",4,1.93,1,3,"Generalists"
"OTU3291",4,6.216,3,10,"NS"
"OTU8989",4,5.518,3,9,"NS"
"OTU609",16,26.67,21,33,"Specialists"
"OTU1526",3,1.712,1,3,"NS"
"OTU7229",5,2.124,1,4,"Generalists"
"OTU264",32,41.92,35,49,"Specialists"
"OTU3097",5,4.396,2,7,"NS"
"OTU390",10,38.102,31,44.525,"Specialists"
"OTU1245",4,6.17,4,9,"NS"
"OTU11424",3,2.882,1,5,"NS"
"OTU340",3,1.75,1,3,"NS"
"OTU3879",6,5.402,3,9,"NS"
"OTU6858",6,9.04,6,13,"NS"
"OTU3246",6,5.48,3,9,"NS"
"OTU11147",15,5.956,3,9,"Generalists"
"OTU4256",37,34.25,28.475,41,"NS"
"OTU195",12,3.426,2,6,"Generalists"
"OTU203",9,14.008,10,19,"Specialists"
