X16S_ID,Observed,beta_div_metacomm_mean,abund_null_dev_stoch,abund_null_dev_det,Domain,Grass
X1351_1705,1396,0.577680746,-0.230622551,-0.106842934,Bacteria,BUDA
X1351_1707,1012,0.601166713,-0.207136584,-0.083356967,Bacteria,BUDA
X1351_1708,1460,0.577787039,-0.230516258,-0.106736641,Bacteria,BUDA
X1351_1709,1000,0.580075206,-0.228228092,-0.104448474,Bacteria,BUDA
X1351_1451,1086,0.646723178,-0.16158012,-0.037800503,Bacteria,BUDA
X1351_1452,1269,0.640118796,-0.168184502,-0.044404885,Bacteria,BUDA
X1351_1453,1047,0.582943894,-0.225359404,-0.101579787,Bacteria,BUDA
X1351_1442,1013,0.575321035,-0.232982262,-0.109202645,Bacteria,BUDA
X1351_1443,1207,0.556798524,-0.251504774,-0.127725156,Bacteria,BUDA
X1351_1444,1260,0.586520432,-0.221782865,-0.098003248,Bacteria,BUDA
X1351_1445,1021,0.658286252,-0.150017046,-0.026237428,Bacteria,BUDA
X1351_1446,1045,0.640254627,-0.168048671,-0.044269053,Bacteria,BUDA
X1351_1447,850,0.630815567,-0.17748773,-0.053708113,Bacteria,BUDA
X1351_1448,1202,0.614425605,-0.193877692,-0.070098075,Bacteria,BUDA
X1351_1449,984,0.619244468,-0.189058829,-0.065279212,Bacteria,BUDA
X1351_1450,854,0.677825462,-0.130477836,-0.006698219,Bacteria,BUDA
X1351_1511,878,0.635610025,-0.172693272,-0.048913655,Bacteria,BUDA
X1351_1512,1159,0.582395332,-0.225907966,-0.102128348,Bacteria,BUDA
X1351_1513,954,0.5801845,-0.228118798,-0.10433918,Bacteria,BUDA
X1351_1502,1081,0.554871371,-0.253431926,-0.129652309,Bacteria,BUDA
X1351_1503,889,0.616758377,-0.19154492,-0.067765303,Bacteria,BUDA
X1351_1504,1158,0.556028518,-0.25227478,-0.128495163,Bacteria,BUDA
X1351_1505,917,0.617158252,-0.191145046,-0.067365429,Bacteria,BUDA
X1351_1506,961,0.592042455,-0.216260842,-0.092481225,Bacteria,BUDA
X1351_1507,917,0.591144443,-0.217158854,-0.093379237,Bacteria,BUDA
X1351_1508,755,0.631616675,-0.176686622,-0.052907005,Bacteria,BUDA
X1351_1509,1021,0.569945468,-0.23835783,-0.114578212,Bacteria,BUDA
X1351_1510,841,0.563081216,-0.245222081,-0.121442464,Bacteria,BUDA
X1351_1736,1011,0.6024899,-0.205813398,-0.082033781,Bacteria,BUDA
X1351_1737,1164,0.566766794,-0.241536504,-0.117756887,Bacteria,BUDA
