"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU50",51,57.344,50,64,"NS"
"OTU85267",6,5.902,4,8,"NS"
"OTU954",12,10.828,8,14,"NS"
"OTU142",13,23.492,19,28,"Specialists"
"OTU772",36,35.792,30,42,"NS"
"OTU11952",21,19.86,16,25,"NS"
"OTU4915",6,6.448,4,8,"NS"
"OTU1436",18,12.364,9,16,"Generalists"
"OTU1404",3,7.892,6,10,"Specialists"
"OTU2467",8,8.312,6,11,"NS"
"OTU3711",44,25.332,21,31.525,"Generalists"
"OTU203",54,44.85,38,52,"Generalists"
"OTU4098",29,16.196,12,20,"Generalists"
"OTU4546",19,13.402,10,17,"Generalists"
"OTU2962",11,10.564,8,14,"NS"
"OTU1487",7,8.816,6,11.525,"NS"
"OTU7604",10,8.342,6,11,"NS"
"OTU15315",9,8.28,6,11,"NS"
"OTU16168",9,9.17,6,12,"NS"
"OTU519",32,20.782,16,26,"Generalists"
"OTU6113",13,11.902,9,16,"NS"
"OTU57388",12,9.396,6.475,12,"NS"
"OTU1501",2,4.176,3,5,"Specialists"
"OTU21769",21,13.486,10,17,"Generalists"
"OTU3614",43,24.548,20,29,"Generalists"
"OTU775",29,25.886,21,31,"NS"
"OTU91",67,68.71,63,74,"NS"
"OTU204",14,16.946,13,21,"NS"
"OTU193",54,37.496,32,43,"Generalists"
"OTU237",61,41.694,35.475,48,"Generalists"
"OTU5455",3,4.162,3,5,"NS"
"OTU6556",2,1.868,1,2,"NS"
"OTU1809",4,5.38,4,7,"NS"
"OTU17979",19,14.358,11,18,"Generalists"
"OTU3466",33,24.494,20,29,"Generalists"
"OTU1675",8,6.378,4,8,"NS"
"OTU23494",37,24.302,19,29,"Generalists"
"OTU739",16,16.38,12,21,"NS"
"OTU433",33,24.582,20,30,"Generalists"
"OTU505",70,63.79,57.475,70,"NS"
