OTU,observed,mean.simulated,lowCI,uppCI,Sign
OTU1938,58,51.01,44.475,59.525,NS
OTU21293,97,244.73,229.425,257,Specialists
OTU2497,84,61.17,52,70,Generalists
OTU15676,12,10.55,8,12,NS
OTU6549,92,62.79,54.475,72.525,Generalists
OTU4722,10,18.18,15,21.525,Specialists
OTU22752,75,53.57,45.475,60,Generalists
OTU6374,20,21.63,19,25.525,NS
OTU20775,2,1.95,1,2,NS
OTU34801,16,17.23,14,20,NS
OTU55890,30,84.67,72.95,95.05,Specialists
OTU24640,2,1.98,2,2,NS
OTU3643,61,52.28,45,59,Generalists
OTU3164,47,50.08,43,57,NS
OTU99625,2,1.98,2,2,NS
OTU4761,131,73,65.475,81,Generalists
OTU12598,67,79.39,70.475,87.525,Specialists
OTU10300,2,6.44,5,7,Specialists
OTU24991,11,9.68,7.475,11,NS
OTU8729,8,8.95,7,10,NS
OTU14487,14,13.44,11,15.525,NS
OTU5805,28,25.41,21,30.525,NS
OTU1997,24,36.33,31,41,Specialists
OTU9000,22,18.07,14,21,Generalists
OTU2254,37,39.04,34,45,NS
OTU37019,145,114.44,104,126,Generalists
OTU5316,36,36.79,31.475,43,NS
OTU2512,74,51.41,45.475,58,Generalists
OTU8463,2,4.7,3.475,5,Specialists
OTU1850,65,54.75,47,61.525,Generalists
OTU15337,33,29.29,25,34.525,NS
OTU996,124,103.78,94,115.525,Generalists
OTU36315,2,2.95,2,3,NS
OTU4137,36,34.21,30,40,NS
OTU4312,20,24.29,20,28.525,NS
OTU5110,77,53.31,46.475,60.525,Generalists
OTU38028,20,18.91,16,22,NS
OTU95165,45,31.78,26,37,Generalists
OTU5800,37,34.89,28,40,NS
OTU6448,58,40.39,35,46,Generalists
OTU55800,21,18.92,15,22,NS
OTU147,291,335.57,319,350,Specialists
OTU1104,113,66.37,59,74,Generalists
OTU1784,102,66.08,58.475,76.05,Generalists
OTU347,170,203.85,192,216,Specialists
OTU3712,52,48.09,41.475,55,NS
OTU8805,42,58.81,52,67.525,Specialists
OTU4887,91,55.18,48.475,62,Generalists
OTU2906,50,43.63,37,50.05,NS
OTU21723,60,43.02,38,50,Generalists
OTU8941,10,12.09,10,14,NS
OTU207,373,249.98,233.375,265.05,Generalists
OTU9331,2,1.99,2,2,NS
OTU1408,152,100.38,91.475,110,Generalists
OTU11715,8,9.87,7.475,11,NS
OTU56171,196,126.96,115,137,Generalists
OTU2594,44,34.37,29,39.525,Generalists
OTU2517,105,73.73,63.425,83,Generalists
OTU6829,70,48.6,42.475,54,Generalists
OTU33660,14,12.03,10,14,NS
OTU14631,81,87.25,78,96.525,NS
OTU35197,2,1.98,2,2,NS
OTU54445,5,4.77,4,5,NS
OTU6119,50,35.31,30,41,Generalists
OTU366,290,215.28,202.475,228.525,Generalists
OTU23376,10,11.19,9,13,NS
OTU4824,109,94.42,84.95,103.525,Generalists
OTU1672,221,147.64,133.475,160.05,Generalists
OTU25158,63,94.04,84,105,Specialists
OTU1081,136,85.28,78,93.525,Generalists
OTU6981,35,29.56,24,34,Generalists
OTU23877,30,26.41,22,30.525,NS
