"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU826",6,2.93,1,4.52499999999999,"Generalists"
"OTU2005",33,17.36,13,23,"Generalists"
"OTU7937",3,2.95,2,4,"NS"
"OTU6333",7,6.26,3.475,9.52499999999999,"NS"
"OTU7006",9,7.12,4,10,"NS"
"OTU44",68,125.23,112.475,138,"Specialists"
"OTU2105",1,10.52,7,15,"Specialists"
"OTU3501",11,11.28,8,14.525,"NS"
"OTU9749",36,20.05,15,26,"Generalists"
"OTU1259",3,3.42,2,5,"NS"
"OTU281",51,9.42,7,13,"Generalists"
"OTU4904",13,5.16,3,7,"Generalists"
"OTU11980",127,15.95,11.475,20,"Generalists"
"OTU12225",60,11.65,8,16.05,"Generalists"
"OTU27",77,10.67,7,14,"Generalists"
"OTU1731",11,3.91,2,6,"Generalists"
"OTU6999",1,1.49,1,2,"NS"
"OTU220",6,3.92,2,6,"NS"
"OTU16",37,11.43,8,15,"Generalists"
"OTU2596",1,1.55,1,2,"NS"
"OTU188",45,7.38,4,10,"Generalists"
"OTU42",54,89.19,77.475,99.525,"Specialists"
"OTU248",162,92.48,80.475,106,"Generalists"
"OTU5587",6,2.84,1,4.52499999999999,"Generalists"
"OTU856",8,3.47,2,5,"Generalists"
"OTU2782",55,19.32,14,26,"Generalists"
"OTU1612",6,27.47,21,33,"Specialists"
"OTU6796",3,2.39,1,4,"NS"
"OTU1491",79,55.3,48,66,"Generalists"
"OTU592",7,14.16,10.475,18.525,"Specialists"
"OTU29",142,147.18,135.475,163,"NS"
"OTU841",99,62.05,52.475,70.525,"Generalists"
"OTU11",27,77.29,67.475,90.05,"Specialists"
"OTU4606",15,6.57,4,9.52499999999999,"Generalists"
"OTU2018",7,17.88,13,23,"Specialists"
"OTU4899",4,5.69,3,9,"NS"
"OTU5998",69,9.69,6,13,"Generalists"
"OTU2422",6,16.38,12,21,"Specialists"
"OTU8872",54,21.66,15.475,27,"Generalists"
"OTU2820",5,13.45,8.475,18,"Specialists"
"OTU327",23,59.25,49.475,68.525,"Specialists"
"OTU638",111,26.51,20.475,33.05,"Generalists"
"OTU1864",1,1.68,1,2,"NS"
"OTU565",17,4.82,3,7,"Generalists"
"OTU189",12,4.17,2,7,"Generalists"
"OTU5571",17,6.05,3,9,"Generalists"
"OTU7275",4,3.83,2,6.52499999999999,"NS"
"OTU4019",3,28.15,22,35,"Specialists"
"OTU45",23,7.8,5,11,"Generalists"
"OTU6812",45,8.1,5,11,"Generalists"
"OTU7561",19,15.78,10.475,21,"NS"
"OTU3125",58,29.78,24,36.525,"Generalists"
"OTU303",16,4.33,3,7,"Generalists"
"OTU8516",44,18.21,13,22.525,"Generalists"
"OTU4005",53,10.93,7,15.05,"Generalists"
