"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU2556",11,7.844,5,11,"NS"
"OTU775",5,17.866,13,24,"Specialists"
"OTU12464",1,2.13,1,4,"NS"
"OTU1922",4,8.928,6,13,"Specialists"
"OTU554",9,9.826,6,14,"NS"
"OTU12805",3,3.02,1,5,"NS"
"OTU13087",1,2.23,1,4,"NS"
"OTU4079",1,3.576,2,6,"Specialists"
"OTU610",1,2.462,1,4,"NS"
"OTU161",2,2.298,1,4,"NS"
"OTU3280",2,3.532,2,6,"NS"
"OTU6503",1,1.304,1,2,"NS"
"OTU4465",8,4.986,2,8,"NS"
"OTU2656",9,4.714,2,8,"Generalists"
"OTU4482",3,3.808,2,6,"NS"
"OTU1621",16,7.696,5,11,"Generalists"
"OTU7704",2,2.086,1,4,"NS"
"OTU5325",3,2.97,1,5,"NS"
"OTU262",1,1.284,1,2,"NS"
"OTU3827",6,3.022,1,5,"Generalists"
"OTU5475",3,1.67,1,3,"NS"
"OTU530",3,1.666,1,3,"NS"
"OTU1282",26,9.29,6,13.525,"Generalists"
