,sign,Domain,Phylum,Class,Order,Family,Genus
OTU9350,NS,Bacteria,Verrucomicrobia,Subdivision3,uncl_Subdivision3,uncl_Subdivision3,Subdivision3_genera_incertae_sedis
OTU1180,NS,Bacteria,Acidobacteria,Acidobacteria_Gp3,uncl_Acidobacteria_Gp3,uncl_Acidobacteria_Gp3,Gp3
OTU5984,NS,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,uncl_Burkholderiales,uncl_Burkholderiales
OTU8099,NS,Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae,uncl_Blastocatellaceae
OTU26740,Specialists,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Fulvivirgaceae,uncl_Fulvivirgaceae
OTU1024,Generalists,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,uncl_Myxococcales,uncl_Myxococcales
OTU11353,NS,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter
OTU2168,NS,Bacteria,Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria,uncl_Actinobacteria
OTU17743,NS,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Baekduiaceae,Baekduia
OTU159,NS,Bacteria,Actinobacteria,Thermoleophilia,uncl_Thermoleophilia,uncl_Thermoleophilia,uncl_Thermoleophilia
OTU48756,Generalists,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Fulvivirgaceae,Ohtaekwangia
OTU9727,NS,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,uncl_Rhizobiales,uncl_Rhizobiales
OTU4389,Generalists,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,uncl_Gemmatimonadales,uncl_Gemmatimonadales
OTU5607,Generalists,Bacteria,Proteobacteria,Gammaproteobacteria,Nevskiales,Steroidobacteraceae,Steroidobacter
OTU7168,NS,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Microlunatus
OTU2805,Generalists,Bacteria,Proteobacteria,uncl_Proteobacteria,uncl_Proteobacteria,uncl_Proteobacteria,uncl_Proteobacteria
OTU1531,Generalists,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,uncl_Rhodospirillales,uncl_Rhodospirillales
OTU8077,NS,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,uncl_Erythrobacteraceae
OTU1208,NS,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura
